actor_entropy,actor_loss,actor_masked,actor_nextQvalue,actor_qf1M,actor_qf2M,actor_qtargetM,actor_target_entropy,alpha_loss,alpha_value,batch_reward,batch_reward_max,batch_reward_min,critic_loss,critic_loss_1,critic_loss_2,step
-0.48755125254392623,31.311789774894713,0.0,-3.406488349437714,-30.232041991055013,-29.279577528238296,-8.512210433930159,-9.0,-0.1269791786064161,0.985443686246872,-50.372453117370604,-3.406488349437714,-161.0976741027832,2908.496739501953,1432.8288879394531,1475.6678564453125,100
-0.1560176285356283,42.45124675750733,0.0,-3.2868364024162293,-41.022708053588865,-40.84010040283203,-26.00839391708374,-9.0,-0.40040270268917083,0.9554843652248383,-51.63314834594726,-3.2868364024162293,-184.83633270263672,2403.460715332031,1194.9107879638673,1208.5499224853515,200
-4.020236782953143,40.82163236618042,0.0,-3.3803934764862063,-18.531380579173565,-22.062724747657775,-32.89847776412964,-9.0,-0.3454638518113643,0.92899948656559,-53.43605895996094,-3.3803934764862063,-226.29436294555663,2385.3785229492187,1172.4959857177735,1212.8825274658202,300
-9.764099340438843,27.46324991226196,0.0,-3.5172527599334718,-2.7872281654924156,-2.5317864344269037,-33.24282464981079,-9.0,0.060719819120131434,0.9235141211748124,-53.580810623168944,-3.5172527599334718,-225.0412518310547,1546.1888165283203,754.0694592285156,792.1193487548828,400
-9.661545419692994,27.936024074554442,0.0,-3.490967717170715,-3.7458233153820037,-3.1366995304077863,-25.62883710861206,-9.0,0.05040891670039855,0.9266768568754196,-53.4360432434082,-3.490967717170715,-225.394560546875,1015.1728424072265,495.96053619384764,519.2123080444336,500
-9.826562042236327,29.15196294784546,0.0,-3.724216628074646,-4.1314265203475955,-3.7385940182209016,-17.170343151092528,-9.0,0.059838032703846696,0.930151851773262,-53.546365852355954,-3.724216628074646,-227.11175048828125,734.5877233886719,361.11706039428714,373.4706608581543,600
-9.788612108230591,30.178375415802,0.0,-3.3685370564460753,-4.654321750402451,-4.256139347553253,-12.478806285858154,-9.0,0.053377078529447314,0.9346339464187622,-53.682970390319824,-3.3685370564460753,-226.8244337463379,572.3422039794922,282.28118057250975,290.06102478027344,700
-9.638845205307007,30.96124423980713,0.0,-3.668851222991943,-4.190348619222641,-4.163578901290894,-8.223840742111205,-9.0,0.04027385003631934,0.9390869289636612,-53.16767677307129,-3.668851222991943,-222.60154281616212,446.4926629638672,221.3076064300537,225.18505531311035,800
-9.391169366836548,31.790761642456054,0.0,-3.576876583099365,-4.197061985731125,-3.850209035873413,-5.848972387313843,-9.0,0.023183566266670824,0.9426304996013641,-52.84062641143799,-3.576876583099365,-225.85820434570311,361.9441130065918,179.67086654663086,182.2732455444336,900
-9.141994638442993,31.882083339691164,0.0,-3.5810967469215393,-3.727528954595327,-3.4710912001132965,-4.543509640693665,-9.0,0.008105428493581712,0.9446485704183578,-52.46063568115235,-3.5810967469215393,-223.73047317504881,316.1600899887085,157.52525062561034,158.6348392868042,1000
