actor_entropy,actor_loss,actor_masked,actor_nextQvalue,actor_qf1M,actor_qf2M,actor_qtargetM,actor_target_entropy,alpha_loss,alpha_value,batch_reward,batch_reward_max,batch_reward_min,critic_loss,critic_loss_1,critic_loss_2,step
-0.6371238623559475,32.07564674854279,0.0,-2.6762071120738984,-30.58615157186985,-29.931317460536956,-8.74355912707746,-9.0,-0.1272556925204117,0.9852635312080383,-78.06830074310302,-2.6762071120738984,-236.12743438720702,8676.745959472657,4305.895374755859,4370.8505895996095,100
-0.19069964036345483,46.08520542144775,0.0,-3.3610059839487074,-45.56733879089356,-45.10146980285644,-27.209919662475585,-9.0,-0.40324420779943465,0.955005938410759,-79.61781032562256,-3.3610059839487074,-243.1221859741211,6720.873843994141,3344.7050396728514,3376.1688208007813,200
-0.1801918926090002,56.25104602813721,0.0,-1.9271561700105666,-55.832967834472655,-55.38568046569824,-37.21113302230835,-9.0,-0.6736830323934555,0.9262215048074722,-82.84767547607422,-1.9271561700105666,-296.15208404541016,9970.335697021485,4973.168926391601,4997.166788330078,300
-0.17139768593013285,71.33877826690674,0.0,-2.8046626496315,-70.86396629333495,-70.35226364135742,-46.88036159515381,-9.0,-0.9427022838592529,0.8984883975982666,-126.61315166473389,-2.8046626496315,-935.9550506591797,54244.08439941406,27093.90311645508,27150.18109008789,400
-0.6153480298817158,82.0342770767212,0.0,-1.4334907627105713,-72.53329666137695,-73.23638622283936,-59.03399532318115,-9.0,-1.1433708065748214,0.8717248034477234,-126.91723487854004,-1.4334907627105713,-937.2086724853516,51876.674521484376,25904.376022949218,25972.298555908204,500
-5.615539846420288,63.79628541946411,0.0,-0.8967466083168983,-14.57996575653553,-15.951948118507863,-69.11933265686035,-9.0,-0.5358706574887038,0.8529946780204773,-123.41626079559326,-0.8967466083168983,-951.717998046875,45082.37592712403,22493.278281555176,22589.097674560548,600
-6.283874354362488,62.94895599365234,0.0,1.6139546619169414,-1.938361882865429,-1.6536426210403443,-55.67756649017334,-9.0,-0.46251515332609416,0.8431811428070068,-103.74801063537598,1.6139546619169414,-920.9330717468262,29079.534477539062,14511.439246520997,14568.095162353515,700
-6.571391520500183,62.60251369476318,0.0,1.445413034018129,-0.36027199879288674,-1.0085806466639042,-34.30808135986328,-9.0,-0.43984496489167213,0.8340899699926376,-104.84045070648193,1.445413034018129,-921.8722441101074,30775.82214935303,15351.341713409423,15424.480387573241,800
-6.7198054981231685,61.86562425613403,0.0,1.2850087852217258,-1.4082624250650406,-1.7485586719214916,-22.938775177001954,-9.0,-0.43740991458296774,0.8253016620874405,-98.39227787017822,1.2850087852217258,-930.3902867126465,25931.945646362306,12935.649556121825,12996.296041717529,900
-6.641262359619141,60.42084844589233,0.0,1.3968895107507706,-5.3025792554020885,-6.0553315111994745,-16.131829690933227,-9.0,-0.4791154983639717,0.8159127712249756,-88.78412837982178,1.3968895107507706,-891.8801626586915,20462.663864135742,10205.012117004395,10257.651825256347,1000
-6.966181240081787,59.84735681533814,0.0,1.5294327281229199,-4.270574744939804,-5.143124035298825,-14.079861397743224,-9.0,-0.43672002382576464,0.8064898806810379,-87.55864112854005,1.5294327281229199,-881.7875799560547,19021.36110961914,9485.385564880371,9535.975566711426,1100
-7.197868008613586,59.22294221878052,0.0,1.4812574376165868,-4.512598322927952,-5.088438516259194,-13.406759734153747,-9.0,-0.4065223614871502,0.7978654682636261,-83.96246376037598,1.4812574376165868,-868.9375686645508,17235.341267700194,8596.675593719483,8638.66564529419,1200
-7.366786990165711,58.71332958221436,0.0,1.2146426881849766,-5.654220975935459,-5.53852744191885,-12.049421653747558,-9.0,-0.3852392237447202,0.7898572546243667,-78.015652885437,1.2146426881849766,-894.6178106689454,15037.65559326172,7502.907513427735,7534.748077392578,1300
-7.467407503128052,56.33765935897827,0.0,0.8849363496340811,-4.453701870441437,-5.196895055472851,-11.998858470916748,-9.0,-0.37695890113711356,0.7816964292526245,-76.67259391784668,0.8849363496340811,-855.7326333618164,14101.841350097657,7029.8626374816895,7071.978683624267,1400
-7.657296924591065,55.68308109283447,0.0,1.0871486949175597,-4.031233959197998,-4.244843883812427,-11.390844306945802,-9.0,-0.3433245503902435,0.7740412306785583,-73.18748760223389,1.0871486949175597,-815.7474296569824,11636.500110778808,5802.188697052002,5834.311333618164,1500
-7.986791582107544,53.74280355453491,0.0,1.1051554875448346,-4.058926326930523,-4.15366107404232,-11.15216544151306,-9.0,-0.2678124336525798,0.767750158905983,-68.92973644256591,1.1051554875448346,-844.6388684082032,10783.4744631958,5375.456711883545,5408.017799682617,1600
-8.138951268196106,54.486843795776366,0.0,1.0348579548299313,-4.137588481009007,-4.004853776097297,-10.886750770807266,-9.0,-0.233766252072528,0.7621874314546585,-69.66397930145264,1.0348579548299313,-860.9401577758789,10901.83140625,5436.69364227295,5465.137760009766,1700
-8.33429060935974,52.09196630477905,0.0,1.0346062402799725,-3.4326319500803946,-4.036782369315624,-9.97890065908432,-9.0,-0.18486754863522947,0.7572562319040298,-65.49258811950683,1.0346062402799725,-796.5751988220214,9082.905626220703,4519.718712310791,4563.186907653809,1800
-8.332711706161499,51.97372091293335,0.0,1.0066430842503906,-3.126922788619995,-3.6277202263474466,-9.775814895629884,-9.0,-0.1891287703998387,0.7529887217283249,-63.968056983947754,1.0066430842503906,-820.3154739379883,8715.396838378907,4344.719678344726,4370.677100830078,1900
