actor_entropy,actor_loss,actor_masked,actor_nextQvalue,actor_qf1M,actor_qf2M,actor_qtargetM,actor_target_entropy,alpha_loss,alpha_value,batch_reward,batch_reward_max,batch_reward_min,critic_loss,critic_loss_1,critic_loss_2,step
-0.540412864908576,29.036251764297486,0.0,-0.7921050010621548,-27.860279506742955,-27.178352264165877,-7.816252536773682,-9.0,-0.126992546194233,0.9853836369514465,-32.61001003265381,-0.7921050010621548,-81.85864418029786,601.2112200927735,294.47045257568357,306.74076904296874,100
-1.216831492781639,30.90302490234375,0.0,0.4841476456820965,-21.406365801095962,-22.818904013633727,-21.764415502548218,-9.0,-0.341008390635252,0.9556282806396484,-32.51303329467773,0.4841476456820965,-88.02871948242188,503.0330337524414,248.91282669067382,254.12020904541015,200
-6.824110569953919,23.564432048797606,0.0,0.8393518174439669,-1.4406146859936415,-1.9511489531211554,-23.968986587524412,-9.0,-0.13847007110714912,0.9377479404211044,-30.350197887420656,0.8393518174439669,-86.54591777801514,378.6084591674805,185.4208822631836,193.18757537841796,300
-6.774731597900391,23.704601249694825,0.0,0.7717294636368751,-1.602269130386412,-1.8229904961585999,-19.571160678863524,-9.0,-0.16382083550095558,0.9290761375427246,-29.240965042114258,0.7717294636368751,-88.15469207763672,368.96144805908204,182.62076835632325,186.34068019866945,400
-6.6075866460800174,23.179605026245117,0.0,1.1861309438198804,-0.8144399507343769,-0.977474137172103,-13.682144517898559,-9.0,-0.2046377369761467,0.9178965049982071,-26.380416469573973,1.1861309438198804,-76.67224349975587,151.1393586730957,74.30589275360107,76.83346538543701,500
-6.566321892738342,24.00762279510498,0.0,0.3904347655177116,-1.8904268081858755,-1.4776963637396694,-9.009298800230026,-9.0,-0.24215133532881736,0.9052133685350419,-27.194227390289306,0.3904347655177116,-85.11091331481934,260.42106048583986,129.49951690673828,130.92154342651367,600
-6.479021220207215,24.746470508575438,0.0,0.5903415042161941,-2.120336655378342,-1.654984196126461,-6.904680491089821,-9.0,-0.29027864381670954,0.8910630112886428,-27.51558439254761,0.5903415042161941,-85.62787139892578,295.0703601837158,147.914507522583,147.15585151672363,700
-6.541183280944824,24.076461925506592,0.0,0.2601500590890646,-1.8729271601140498,-1.3165541018918157,-4.756759397387505,-9.0,-0.3248626133799553,0.8761933934688568,-26.14179786682129,0.2601500590890646,-83.09196960449219,176.27659782409668,88.31109153747559,87.96550741195679,800
-6.403386511802673,24.372007694244385,0.0,0.4072031472623348,-1.9222275338321924,-1.7116450953483582,-4.03008318066597,-9.0,-0.39040781259536744,0.8602465707063675,-26.330676250457763,0.4072031472623348,-83.3956192779541,203.20789180755617,101.90558443069457,101.30230543136597,900
-6.479503531455993,24.32664337158203,0.0,0.00930427573621273,-1.7716687719523907,-1.2715442644059658,-2.9343373963236807,-9.0,-0.42817255258560183,0.8435447013378143,-26.496111507415772,0.00930427573621273,-84.73311149597168,213.1040880584717,106.47080532073974,106.63328178405762,1000
